Name,Position,Games Played,Minutes,Tries Per 80 Minutes,Try Assists Per 80 Minutes,Try Contributions Per 80 Minutes,Carries Per 80 Minutes,Meters Per 80 Minutes,Defenders Beaten Per 80 Minutes,Linebreaks Per 80 Minutes,Offloads Per 80 Minutes,Tackles Per 80 Minutes,Missed Tackles Per 80 Minutes,Turnovers Won Per 80 Minutes,Turnovers Lost Per 80 Minutes,Penalties Per 80 Minutes,Kicks Per 80 Minutes,Passes Per 80 Minutes,Dominant Tackles Per 80 Minutes
Aaron Smith,Halfback,75,4212,0.284900285,0.911680912,2.716049383,5.318138651,20.55080722,1.177587844,0.949667616,0.417853751,5.451092118,1.38651472,0.189933523,0.911680912,0.436847104,5.147198481,74.75783476,0.132953466
Akira Ioane,Blindside,21,1103,0.072529465,0.14505893,0.362647325,10.8068903,43.88032638,2.973708069,0.652765186,0.14505893,7.615593835,0.797824116,0.580235721,0.652765186,0.942883046,0.14505893,3.84406165,0.29011786
Angus Ta'avao,Prop,23,732,0.327868852,0.109289617,0.109289617,5.136612022,12.34972678,0.655737705,0.109289617,0.327868852,12.56830601,1.092896175,0,0.43715847,1.530054645,0,2.404371585,0.109289617
Anton Lienert-Brown,Second Five,67,3584,0.3125,0.535714286,0.9375,10.40178571,47.79017857,3.125,1.160714286,1.428571429,7.410714286,0.959821429,0.245535714,0.9375,0.46875,0.334821429,7.8125,0.133928571
Ardie Savea,Openside,79,4599,0.400086975,0.365296804,0.504457491,12.75059796,43.81822135,3.165905632,0.661013264,0.991519896,11.25462057,0.626223092,0.695803436,0.695803436,0.608828006,0.121765601,6.888454012,0.243531202
Beauden Barrett,First Five,85,5597,0.485974629,0.757548687,1.529390745,11.92067179,56.74468465,2.815794175,1.100589602,0.900482401,4.302304806,1.314990173,0.2001072,1.586564231,0.328747543,9.033410756,19.3246382,0.042880114
Ben Smith,Fullback,36,2608,0.613496933,0.337423313,0.674846626,9.846625767,70.73619632,4.018404908,2.331288344,1.257668712,3.159509202,0.582822086,0.337423313,1.226993865,0.245398773,1.319018405,8.435582822,0
Brodie Retallick,Lock,62,3994,0.140210315,0.100150225,0.240360541,8.673009514,23.39509264,1.061592389,0.380570856,0.540811217,9.914872308,1.021532298,0.560841262,0.620931397,1.081622434,0.060090135,5.207811718,0.160240361
Caleb Clarke,Wing,17,1136,0.422535211,0.070422535,0.211267606,10.42253521,71.47887324,2.887323944,1.408450704,0.070422535,3.521126761,0.774647887,0.070422535,1.61971831,0.352112676,0.281690141,3.309859155,0.14084507
Charlie Faumuina,Prop,17,532,0.45112782,0.15037594,0.45112782,6.315789474,12.48120301,0.751879699,0.15037594,0.45112782,7.819548872,0.751879699,0.15037594,0.601503759,0.902255639,0.15037594,2.857142857,0
Codie Taylor,Hooker,78,3526,0.408394782,0.181508792,0.317640386,7.419171866,22.41633579,0.907543959,0.680657969,0.249574589,11.0493477,0.998298355,0.272263188,0.726035167,0.476460579,0.045377198,3.33522405,0.090754396
Dalton Papali'i,Openside,31,1522,0.420499343,0.157687254,0.262812089,4.94086728,24.65177398,0.99868594,0.578186597,0.473061761,14.92772668,0.840998686,0.578186597,0.73587385,0.788436268,0,3.153745072,0.525624179
Damian McKenzie,Fullback,46,2421,0.627839736,0.826104915,1.321767865,11.7306898,76.16687319,4.890541099,1.85047501,1.420900454,3.601817431,0.925237505,0.09913259,2.04874019,0.396530359,4.328789756,19.03345725,0.09913259
Dane Coles,Hooker,51,2392,0.568561873,0.334448161,0.568561873,7.79264214,27.42474916,1.304347826,1.170568562,1.003344482,9.765886288,1.003344482,0.334448161,0.635451505,0.735785953,0.200668896,4.581939799,0
David Havili,Second Five,27,1402,0.513552068,0.228245364,0.570613409,9.07275321,46.96148359,2.681883024,0.798858773,0.798858773,7.417974322,1.426533524,0.057061341,1.141226819,0.62767475,1.654778887,6.961483595,0.228245364
Ethan Blackadder,Blindside,10,524,0,0,0.305343511,6.259541985,20.15267176,0.763358779,0.610687023,0.916030534,14.19847328,1.221374046,0.610687023,1.221374046,1.06870229,0,4.427480916,0
Ethan De Groot,Prop,22,1052,0.228136882,0,0.228136882,5.627376426,6.08365019,0.30418251,0.076045627,0.152091255,10.03802281,0.988593156,0.152091255,0.30418251,1.292775665,0,2.433460076,0.152091255
Finlay Christie,Halfback,23,614,0.13029316,1.042345277,3.648208469,5.342019544,33.8762215,0.521172638,0.912052117,0.651465798,7.166123779,1.693811075,0.260586319,1.302931596,0.912052117,2.605863192,88.46905537,0.260586319
George Bower,Prop,22,941,0,0,0.08501594,6.546227418,8.67162593,0.425079702,0.170031881,0.170031881,7.991498406,2.210414453,0.170031881,0.170031881,1.105207226,0,1.445270988,0.340063762
George Bridge,Wing,18,1125,0.853333333,0.355555556,0.711111111,11.80444444,93.65333333,2.986666667,2.488888889,0.568888889,3.2,0.711111111,0.213333333,1.351111111,0.142222222,0.426666667,4.408888889,0
